234,"Malad West, Mumbai - IITM",157,19.197090,72.822037
235,"Maldahiya, Varanasi - UPPCB",242,25.323931,82.996872
236,"Manali Village, Chennai - TNPCB",59,13.166200,80.258400
237,"Manali, Chennai - CPCB",59,13.164544,80.262848
238,"Mandir Marg, Delhi - DPCC",74,28.636429,77.201065
239,"Mandor, Jodhpur - RSPCB",114,26.358805,73.047447
240,"Mangala, Bilaspur - NTPC",47,22.088150,82.137367
241,"Maninagar, Ahmedabad - GPCB",3,23.002657,72.591911
242,"Manoharpur, Agra - UPPCB",2,27.237110,78.019363
243,"Mansarovar Sector-12, Jaipur - RSPCB",105,26.843699,75.766891
244,"Mariam Nagar, Purnia - BSPCB",189,25.366337,87.117470
245,"Masoom Colony, Parbhani - MPCB",178,19.265594,76.761459
246,"Mayaganj, Bhagalpur - BSPCB",37,25.265194,87.012947
247,"Mazgaon, Mumbai - IITM",157,18.967020,72.842140
248,"Meelavittan, Thoothukudi - TNPCB",229,NULL,78.099037
249,"Meher Colony, Baripada - OSPCB",29,21.941841,86.728317
250,"Mendonsa Colony, Dindigul - TNPCB",80,10.358535,77.984322
251,"Mhada Colony, Pune - IITM",188,18.573040,73.927711
252,"MIDC Ambad, Nashik - MPCB",170,19.950220,73.731483
253,"MIDC Chilkalthana, Aurangabad - MPCB",19,19.875620,75.387306
254,"MIDC Khutala, Chandrapur - MPCB",57,19.977530,79.233711
255,"Mindspace-Malad West, Mumbai - MPCB",157,19.187866,72.830406
256,"Mirchaibari, Katihar - BSPCB",126,25.560083,87.553268
257,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",160,26.140335,85.365021
258,"MM Ground, Bikaner - RSPCB",46,28.018791,73.292656
259,"Model Town, Patiala - PPCB",179,30.349388,76.366646
260,"More Chowk Waluj, Aurangabad - MPCB",19,19.838943,75.244446
261,"Moti Doongri, Alwar - RSPCB",7,27.554792,76.611534
262,"Motilal Nehru NIT, Prayagraj - UPPCB",185,25.493999,81.862999
263,"Mudtra Sili, Jalore - RSPCB",110,25.344694,72.626205
264,"Mulund West, Mumbai - MPCB",157,19.174999,72.941902
265,"Mundka, Delhi - DPCC",74,28.684677,77.076576
266,"Municipal Corporation Office, Tirunelveli - TNPCB",233,8.728442,77.696198
267,"Muradpur, Patna - BSPCB",180,25.619652,85.147385
268,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",160,26.120899,85.364700
269,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",102,17.429398,78.569351
270,"Nagar Nigam, Prayagraj - UPPCB",185,NULL,NULL
271,"Nagla Bhau, Firozabad - UPPCB",84,27.168898,78.376961
272,"Naharlagun, Naharlagun - APSPCB",166,27.103357,93.679642
273,"Najafgarh, Delhi - DPCC",74,28.570173,76.933762
274,"Narela, Delhi - DPCC",74,28.822836,77.101982
275,"Navy Nagar-Colaba, Mumbai - IITM",157,18.897757,72.813316
276,"Nawapara SECL Colony, Chhal - CECB",60,22.118126,83.140610
277,"Nayapura, Kota - RSPCB",138,25.196024,75.855667
278,"Nehru Nagar, Delhi - DPCC",74,28.567890,77.250519
279,"Nehru Nagar, Kanpur - UPPCB",121,26.470314,80.322983
280,"Nerul, Navi Mumbai - MPCB",171,19.008751,73.016617
281,"New Colony, Bundi - RSPCB",52,25.435774,75.644272
282,"New DM Office, Arrah - BSPCB",16,25.562609,84.663261
283,"New Malakpet, Hyderabad - TSPCB",102,17.372061,78.508636
284,"New Mandi, Muzaffarnagar - UPPCB",159,29.472351,77.719406
285,"NISE Gwal Pahari, Gurugram - IMD",92,28.422682,77.148941
286,"North Campus, DU, Delhi - IMD",74,28.657381,77.158546
287,"NSI Kalyanpur, Kanpur - UPPCB",121,26.509954,80.249611
288,"NSIT Dwarka, Delhi - CPCB",74,28.609091,77.032539
289,"Okhla Phase-2, Delhi - DPCC",74,28.530785,77.271255
290,"Old City, Sri Ganganagar - RSPCB",220,29.931623,73.864510
291,"Old MIDC, Jalna - MPCB",109,19.854616,75.905891
292,"OMC Colony, Suakati - OSPCB",222,21.606865,85.510536
293,"Omex Eternity, Vrindavan - UPPCB",250,27.571409,77.655754
294,"OP Jindal Industrial Park, Tumidih - CECB",238,22.066315,83.338203
295,"OP Jindal School, Kunjemura - CECB",139,22.126650,83.483215
296,"Opp GPO Civil Lines, Nagpur - MPCB",165,21.152876,79.051750
297,"Padmapukur, Howrah - WBPCB",100,22.568731,88.279724
298,"Pallavpuram Phase 2, Meerut - UPPCB",152,29.063511,77.709724
299,"Pan Bazaar, Guwahati - PCBA",93,26.187500,91.744194
300,"Panchawati_Pashan, Pune - IITM",188,18.536457,73.805450
301,"Pandav Nagari, Nashik - MPCB",170,19.959135,73.778801
302,"Parisutham Nagar, Thanjavur - TNPCB",227,10.765482,79.139000
303,"Park Street Wakad, Pimpri Chinchwad - MPCB",182,18.590509,73.779457
304,"Paryavaran Parisar, Bhopal - MPPCB",43,23.210493,77.425407
305,"Patia, Bhubaneswar - OSPCB",44,20.346519,85.816299
306,"Patparganj, Delhi - DPCC",74,28.623762,77.287209
307,"PCBL Residential Complex, Durgapur - WBPCB",82,23.508764,87.354439
308,"Peenya, Bengaluru - CPCB",35,13.027020,77.494095
309,"Perungudi, Chennai - TNPCB",59,12.953300,80.235703
310,"Phase-1 GIDC, Vapi - GPCB",241,20.362421,72.918015
311,"Phase-4 GIDC, Vatva - GPCB",243,22.969610,72.643501
312,"Pimpleshwar Mandir, Kalyan - MPCB",118,19.192057,72.958519
313,"Plammoodu, Thiruvananthapuram - Kerala PCB",228,8.514910,76.943588
314,"Polayathode, Kollam - Kerala PCB",135,8.878700,76.607300
315,"Police Commissionerate, Jaipur - RSPCB",105,26.916409,75.799492
316,"Police Line, Saharsa - BSPCB",203,25.892357,86.590324
317,"Powai, Mumbai - MPCB",157,19.137501,72.915054
318,"Prabhat Colony, Jalgaon - MPCB",108,21.001265,75.565605
319,"Pragati Nagar, Pratapgarh - RSPCB",184,24.041199,74.780701
320,"Pratap Nagar, Bhilwara - RSPCB",40,25.339605,74.618881
321,"Priyambada Housing Estate, Haldia - WBPCB",96,22.060471,88.109734
322,"PSG College of Arts and Science, Coimbatore - TNPCB",67,11.032800,77.034897
323,"Punjab Agricultural University, Ludhiana - PPCB",142,30.902800,75.808601
324,"Punjabi Bagh, Delhi - DPCC",74,28.674046,77.131020
325,"Pusa, Delhi - DPCC",74,28.639652,77.146278
326,"Pusa, Delhi - IMD",74,28.636110,77.173332
327,"PWD Junction, Kohima - NPCB",132,25.663542,94.098991
328,"R K Puram, Delhi - DPCC",74,28.563263,77.186935
329,"Rabindra Bharati University, Kolkata - WBPCB",134,22.627848,88.380669
330,"Rabindra Sarobar, Kolkata - WBPCB",134,22.511061,88.351418
331,"Rachnakar Colony, Aurangabad - MPCB",19,19.863756,75.321190
332,"Radhakishan Pura, Sikar - RSPCB",212,27.608912,75.153305
333,"Raghunathpali, Rourkela - OSPCB",200,22.220833,84.809441
334,"Raikhad, Ahmedabad - IITM",3,23.020510,72.579262
335,"Railway Colony, Barmer - RSPCB",30,25.747299,71.393990
336,"Railway Colony, Guwahati - PCBA",93,26.181742,91.780632
337,"Raja Ganj, Dholpur - RSPCB",78,26.699556,77.898880
338,"Rajbagh, Srinagar - JKSPCB",221,34.066208,74.819817
339,"Rajbansi Nagar, Patna - BSPCB",180,25.599485,85.113663
340,"Rajendra Nagar, Bareilly - UPPCB",28,28.389109,79.429634
341,"Rajiv Gandhi Park, Vijayawada - APPCB",246,16.509718,80.612221
342,"Rajiv Nagar, Vijayawada - APPCB",246,16.554731,80.649109
343,"Rajlaxmi Nagar, Jhalawar - RSPCB",111,24.588396,76.172783
344,"Rakhial, Ahmedabad - IITM",3,23.016834,72.625778
345,"Ram Nagar, Nagpur - MPCB",165,21.143383,79.048912
346,"Ramachandrapuram, Hyderabad - TSPCB",102,17.528543,78.286194
347,"Ramdaspeth, Akola - MPCB",6,20.719517,77.000252
348,"Rampur, Korba - CECB",137,22.368195,82.746429
349,"Ratandeep Housing Society, Solapur - MPCB",219,17.654390,75.906487
350,"Ratanpura, Rupnagar - Ambuja Cements",201,31.032545,76.562302
351,"Rati Talai, Banswara - RSPCB",25,23.555189,74.440010
352,"Regional Park, Indore - IMC",103,22.677999,75.855904
353,"Residency Area, Indore - IMC",103,22.708401,75.881500
354,"RIICO Ind. Area III, Bhiwadi - RSPCB",41,28.194908,76.862297
355,"RIICO Sitapura, Jaipur - RSPCB",105,26.786682,75.827927
356,"RIMT University, Mandi Gobindgarh - PPCB",148,30.649961,76.331444
357,"Rohini, Delhi - DPCC",74,28.732529,77.119919
358,"Rohta, Agra - UPPCB",2,27.106972,78.000114
359,"Royapuram, Chennai - TNPCB",59,13.103600,80.290901
360,"RVCE-Mailasandra, Bengaluru - KSPCB",35,12.921418,77.502464
361,"SAC ISRO Bopal, Ahmedabad - IITM",3,23.041138,72.456688
362,"SAC ISRO Satellite, Ahmedabad - IITM",3,23.023390,72.515198
363,"Sadar Bazar, Jaisalmer - RSPCB",106,26.912329,70.909164
364,"Sahilara, Maihar - KJS Cements",146,24.261301,80.723175
365,"Sahu Nagar, Sawai Madhopur - RSPCB",209,26.031443,76.359329
366,"Samanpura, Patna - BSPCB",180,25.596727,85.085625
367,"Samrat Ashok Udhyan, Jodhpur - RSPCB",114,26.253384,72.976570
368,"Sanathnagar, Hyderabad - TSPCB",102,17.455946,78.433212
369,"Sanegurava Halli, Bengaluru - KSPCB",35,12.990328,77.543137
370,"Sanjay Nagar, Ghaziabad - UPPCB",88,28.685383,77.453842
371,"Sanjay Palace, Agra - UPPCB",2,27.198658,78.005981
372,"Sanpada, Navi Mumbai - MPCB",171,19.057575,73.015137
373,"Sardar Patel Inter College, Baghpat - UPPCB",23,28.964949,77.278763
374,"Sardar Patel Nagar, Dhanbad - JSPCB",76,23.805691,86.442680
375,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",3,23.043070,72.562965
376,"Satyawati Vihar, Karauli - RSPCB",122,26.506178,77.025986
377,"Savitribai Phule Pune University, Pune - MPCB",188,18.547056,73.826904
378,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",182,18.614767,73.799515
379,"Sawe Wadi, Latur - MPCB",140,18.399630,76.574516
380,"Science Center, Surat - SMC",223,21.170046,72.795403
381,"SDM Office_Khagra, Kishanganj - BSPCB",131,26.088131,87.938400
382,"Secretariat, Amaravati - APPCB",8,16.515083,80.518166
383,"Sector - 125, Noida - UPPCB",173,28.544762,77.323128
384,"Sector - 62, Noida - IMD",173,28.624548,77.357712
385,"Sector 22, Chandigarh - CPCC",56,30.735567,76.775711
386,"Sector-1, Noida - UPPCB",173,28.589800,77.310097
387,"Sector-10, Gandhinagar - GPCB",85,23.221714,72.654327
388,"Sector-116, Noida - UPPCB",173,28.569229,77.393845
